Reference:,Reference ID:,EC Value:,Method:,Buffer:,Evaluation:,T(K),pH ,K<sub>c</sub>' ,c(Mg)tot(mol dm<sup>-3</sup>),Km' ,"c(Tris,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(kJ.mol<sup>-1</sup>),c(MgCl2) ,p(MPa),"c(glycerol,mol dm<sup>-3</sup>)",buffer ,"c(CaCl2,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/(n<sup>-1</sup>,"ë«<sub>r</sub>H(cal)/,kJ.mol<sup>-1</sup>)",c(nucleotide)tot(mol dm<sup>-3</sup>),"m(MgCl2,mol.kg<sup>-1</sup>)",K<sub>c</sub>'(mol dm<sup>-3</sup>),"c(NaCl,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H'<sup>o</sup>(kJ.mol<sup>-1</sup>),pMg ,ë«<sub>r</sub>H(cal) ,I<sub>c</sub>(kJ.mol<sup>-1</sup>),"c(Mg2+,mol dm<sup>-3</sup>)",I<sub>m</sub>(mol.kg<sup>-1</sup>),"ë«<sub>r</sub>Hcal,kJ.mol<sup>-1</sup>)",buffer(mol dm<sup>-3</sup>),"c(salt,mol dm<sup>-3</sup>)","c(KCl,mol dm<sup>-3</sup>)",protein ,media ,ë«<sub>r</sub>H<sup>o</sup>(kJ.mol<sup>-1</sup>),buffer and/or salt ,salt ,"c(MgCl2,mol dm<sup>-3</sup>)","c(total substrate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H(cal)/kJ mol<sup>-1</sup>),added solute ,I<sub>c</sub>(mol dm<sup>-3</sup>),I<sub>c</sub> ,kJ.mol<sup>-1</sup>),"m(KCl,mol.kg<sup>-3</sup>)",percent(dimethyl sulfoxide) ,"c(MgSO4,mol dm<sup>-3</sup>)",cosolvent ,"c(phosphate,mol dm<sup>-3</sup>)",ë«<sub>r</sub>H?(kJ.mol<sup>-1</sup>),K<sub>c</sub> ,solvent ,"c(MnCl2,mol dm<sup>-3</sup>)",K'(kJ.mol<sup>-1</sup>),K ,K' 
,,,,,,298.15,9.23,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.32,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,298.15,9.71,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu C.-H.; Witonsky R.J.; George P.; Rutman R.J.; J. Am. Chem. Soc.; 89 1987 (1967).,67WU/WIT_811," 3.1.3.1                                                    (ENZYME |                                                 KEGG)                                                ", calorimetry, none, A,298.15,6.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15.5,,,,,,,,,,,,,,,,
,,,,,,298.15,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.6,,,,,,,,,,,,,,,,
,,,,,,298.15,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.3,,,,,,,,,,,,,,,,
,,,,,,298.15,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.6,,,,,,,,,,,,,,,,
Aurich H.; Kleber H.-P.; Sorger H.; Tauchert H.; Eur. J. Biochem.; 6 196 (1968).,68AUR/KLE_209," 1.1.1.108                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.05 mol dm-3) + HCl, B,303.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00013
,,,,,,303.15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0013
,,,,,,303.15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013
Avigad G.; Alroy Y.; Englard S.; J. Biol. Chem.; 243 1936 (1968).,68AVI/ALR_212," 1.1.1.119                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.1 mol dm-3), C,303.15,6.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.297
,,,,,,303.15,6.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13
,,,,,,303.15,6.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.52
Ayling J.E.; Snell E.E.; Biochemistry; 7 1616 (1968).,68AYL/SNE_532," 2.6.1.30                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.05 mol dm-3), C,298.15,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21
Ayling J.E.; Snell E.E.; Biochemistry; 7 1626 (1968).,68AYL/SNE2_528," 2.6.1.30                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.05 mol dm-3), B,298.15,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
Ayling J.E.; Snell E.E.; Biochemistry; 7 1626 (1968).,68AYL/SNE2_529," 2.6.1.30                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.05 mol dm-3), B,298.15,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7
Ayling J.E.; Snell E.E.; Biochemistry; 7 1626 (1968).,68AYL/SNE2_530," 2.6.1.30                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.05 mol dm-3), B,298.15,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26
Ayling J.E.; Snell E.E.; Biochemistry; 7 1626 (1968).,68AYL/SNE2_531," 2.6.1.30                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.05 mol dm-3), B,298.15,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96
Bada J.L.; Miller S.L.; Biochemistry; 7 3403 (1968).,68BAD/MIL_1211," 4.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", amino acid analysis Conway diffusion and UV absorption, Hepes Mes Tris and phosphate, A,278.05,7,,,0.00215,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,288.45,7,,,0.00307,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,300.55,7,,,0.00511,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,5.7,,,0.0071,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7,,,0.0067,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7,,,0.0067,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7,,,0.00673,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7,,,0.0091,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7,,,0.0098,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7,,,0.0098,,,,,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,309.45,7.7,,,0.0064,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Beeumen J.; DeLey J.; Eur. J. Biochem; 6 331 (1968).,68BEE/DEL_236," 1.1.99.13                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, citrate-phosphate (0.1 mol dm-3), C,298.15,5.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
Bomsel J.; Pradet A.; Biochim. Biophys. Acta; 162 230 (1968).,68BOM/PRA_643," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and radioactivity,, D,298.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
"Brosnan J.T.; ""Studies Related to Ammonia Metabolism in Animal Tissues""; Thesis Oxford University (1968).",68BRO_511," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, phosphate (0.1 mol dm-3), A,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,0.68
Burton P.M.; Waley S.G.; Biochim. Biophys. Acta; 151 714 (1968).,68BUR/WAL_1284," 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay, triethanolamine (0.021 mol dm-3), C,298.15,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
Dyson J.E.D.; Noltmann E.A.; J. Biol. Chem.; 243 1401 (1968).,68DYS/NOL_1358," 5.3.1.9                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.050 mol dm-3) + HCl, A,273.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.19
,,,,,,274.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.19
,,,,,,278.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.2
,,,,,,279.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.2
,,,,,,283.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.22
,,,,,,284.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.22
,,,,,,288.4,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.24
,,,,,,289.9,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.25
,,,,,,293.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.26
,,,,,,294.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.26
,,,,,,298.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.29
,,,,,,299,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.27
,,,,,,303.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.3
,,,,,,303.6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.31
,,,,,,308.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.33
,,,,,,308.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.33
,,,,,,313.3,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.36
,,,,,,313.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.34
,,,,,,317.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.38
,,,,,,318.7,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.38
,,,,,,322,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.41
,,,,,,322.8,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,0.41
Eriksson C.E.; J. Food Sci.; 33 525 (1968).,68ERI_24," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.01 mol dm-3), B,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87E-03
Eriksson C.E.; J. Food Sci.; 33 525 (1968).,68ERI_25," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.01 mol dm-3), B,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20E-04
Eriksson C.E.; J. Food Sci.; 33 525 (1968).,68ERI_26," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.01 mol dm-3), B,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05E-02
Eriksson C.E.; J. Food Sci.; 33 525 (1968).,68ERI_27," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.01 mol dm-3), B,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.10E-03
Eriksson C.E.; J. Food Sci.; 33 525 (1968).,68ERI_3," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.01 mol dm-3), B,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.80E-03
Eriksson C.E.; J. Food Sci.; 33 525 (1968).,68ERI_34," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, sodium pyrophosphate (0.01 mol dm-3), B,298.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.283
Hatch M.D.; Slack C.R.; Biochem. J.; 106 141 (1968).,68HAT/SLA_712," 2.7.9.1                                                    (ENZYME |                                                 KEGG)                                                ",, Tris (0.038 mol dm-3) + HCl, C,295.15,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00E-04
Havir E.A.; Hanson K.R.; Biochemistry; 7 1904 (1968).,68HAV/HAN_1219," 4.3.1.5                                                    (ENZYME |                                                 KEGG)                                                ", chromatography, sodium diphosphate and potassium phosphate, B,303.15,6.8,4.7,,,,,,,,potassium phosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,5.7,,,,,,,,potassium phosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,5.9,,,,,,,,potassium phosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,7.4,,,,,,,,potassium phosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,7.4,,,,,,,,potassium phosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,5.2,,,,,,,,potassium phosphate (0.12 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,6.1,,,,,,,,potassium phosphate (0.12 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,8,,,,,,,,potassium phosphate (0.12 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,6,,,,,,,,potassium phosphate (0.13 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,7.9,,,,,,,,potassium phosphate (0.19 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,6.8,7.9,,,,,,,,potassium phosphate (0.19 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,6.2,,,,,,,,sodium diphosphate (0.069 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,6.3,,,,,,,,sodium diphosphate (0.069 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,6.2,,,,,,,,sodium diphosphate (0.084 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,5.4,,,,,,,,sodium diphosphate (0.084 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,5.4,,,,,,,,sodium diphosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,3.9,,,,,,,,sodium diphosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,5.5,,,,,,,,sodium diphosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,6.6,,,,,,,,sodium diphosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,303.15,8.5,6.7,,,,,,,,sodium diphosphate (0.08 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean M.; DeMoss R.D.; Can. J. Microbiol.; 14 429 (1968).,68JEA/DEM_210," 1.1.1.110                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, potassium phosphate, C,310.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.30E+02
Kohn L.D.; Jakoby W.B.; J. Biol. Chem.; 243 2472 (1968).,68KOH/JAK_135," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.1 mol dm-3) + HCl, C,298.15,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.09E-04
,,,,,,298.15,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04E-03
,,,,,,298.15,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87E-03
Kohn L.D.; Jakoby W.B.; J. Biol. Chem.; 243 2472 (1968).,68KOH/JAK_142," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, Tris (0.1 mol dm-3) + HCl, C,298.15,7.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E-05
,,,,,,298.15,8.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.40E-04
Kohn L.D.; Jakoby W.B.; J. Biol. Chem.; 243 2486 (1968).,68KOH/JAK2_86," 1.1.1.26                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,298.15,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20E-05
,,,,,,298.15,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00E-04
,,,,,,298.15,9.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-03
Kohn L.D.; Jakoby W.B.; J. Biol. Chem.; 243 2486 (1968).,68KOH/JAK2_90," 1.1.1.26                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry,, C,298.15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40E-07
Kohn L.D.; J. Biol. Chem.; 243 4426 (1968).,68KOH_192," 1.1.1.60                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, {Tris (0.2 mol dm-3) + HCl} and phosphate (0.15 mol dm-3), C,298.15,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.30E-05
Londesborough J.C.; Dalziel K.; Biochem. J.; 110 217 (1968).,68LON/DAL_153," 1.1.1.42                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, carbonate + bicarbonate, A,298.15,6.6,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,,,,,,,,,,,,,,
,,,,,,298.15,6.9,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254,,,,,,,,,,,,,,
,,,,,,298.15,6.9,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.404,,,,,,,,,,,,,,
,,,,,,298.15,7.05,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.104,,,,,,,,,,,,,,
,,,,,,298.15,7.2,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,,,,,,,,,,
Mayo J.W.; Anderson R.L.; J. Biol. Chem.; 243 6330 (1968).,68MAY/AND_1379," 5.3.1.-                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry and polarimetry, Tris (0.017 mol dm-3) + HCl, B,303.15,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5
Mizugaki M.; Weeks G.; Toomey R.E.; Wakil S.J.; J. Biol. Chem.; 243 3661 (1968).,68MIZ/WEE_1200," 4.2.1.58                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, Tris (0.11 mol dm-3) + HCl, C,298.15,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~0.32
Nixon P.F.; Blakley R.L.; J. Biol. Chem.; 243 4722 (1968).,68NIX/BLA_298," 1.5.1.3                                                    (ENZYME |                                                 KEGG)                                                ", spectrophotometry, {Tris (0.050 mol dm-3) + HCl} or phosphate (0.050 mol dm-3), C,310.15,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,~2.4E-4
,,,,,,310.15,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20E-03
Potter L.T.; Glover V.A.S.; Saelens J.K.; J. Biol. Chem.; 243 3864 (1968).,68POT/GLO_386," 2.3.1.6                                                    (ENZYME |                                                 KEGG)                                                ",spectrophotometry and electrophoresis, phosphate (0.010 mol dm-3), C,311.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522
Reeves R.E.; Menzies R.A.; Hsu D.S.; J. Biol. Chem.; 243 5486 (1968).,68REE/MEN_713," 2.7.9.1                                                    (ENZYME |                                                 KEGG)                                                ", enzymatic assay and spectrophotometry, (imidazole + HCl) and (Tris + HCl), B,298.15,6.51,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75E-04
,,,,,,298.15,6.91,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.35E-04
,,,,,,298.15,7,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77E-04
,,,,,,298.15,7.06,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.26E-04
,,,,,,298.15,7.18,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19E-03
,,,,,,298.15,7.22,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45E-03
,,,,,,298.15,7.39,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55E-03
,,,,,,298.15,7.53,,,,,,,,,imidazole (0.021 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00E-02
,,,,,,298.15,7.88,,,,,,,,,Tris (0.023 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.10E-02
,,,,,,298.15,8.19,,,,,,,,,Tris (0.023 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17
,,,,,,298.15,8.39,,,,,,,,,Tris (0.023 mol dm-3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5
Salo W.L.; Nordin J.H.; Peterson D.R.; Bevill R.D.; Kirkwood S.; Biochim. Biophys. Acta; 151 484 (1968).,68SAL/NOR_1253," 5.1.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and spectrophotometry, glycine (0.24 mol dm-3) + NaOH, C,310.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35
Salo W.L.; Nordin J.H.; Peterson D.R.; Bevill R.D.; Kirkwood S.; Biochim. Biophys. Acta; 151 484 (1968).,68SAL/NOR_1259," 5.1.3.2                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and spectrophotometry, glycine (0.24 mol dm-3) + NaOH, C,310.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62
Salo W.L.; Nordin J.H.; Peterson D.R.; Bevill R.D.; Kirkwood S.; Biochim. Biophys. Acta; 151 484 (1968).,68SAL/NOR_1268," 5.1.3.5                                                    (ENZYME |                                                 KEGG)                                                ", chromatography and spectrophotometry, glycine (0.24 mol dm-3) + NaOH, C,310.15,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94
Su S.; Russell P.J. Jr.; J. Biol. Chem.; 243 3826 (1968).,68SU/RUS_642," 2.7.4.3                                                    (ENZYME |                                                 KEGG)                                                ", paper chromatography and spectrophotometry, Tris (0.016 mol dm-3) + HCl, C,280.3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,0.303
,,,,,,300.4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,0.272
,,,,,,303.15,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,0.197
,,,,,,303.15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,0.496
,,,,,,303.15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,,,,,,,,,,,,,,,,,,0.418
,,,,,,303.15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0081,,,,,,,,,,,,,,,,,,0.64
