,doi_from_pubmed,pmid,title,citation,year,authors,journal,volume,issue,pages,url,abstract,reference_code,doi_from_robert,reference_code_in_online_database
239,10.1021/bi00317a015,6391537,"Catabolic alanine racemase from Salmonella typhimurium: DNA sequence, enzyme purification, and characterization.","<PubMedArticle 6391537> Wasserman SA; Daub E; Grisafi P; Botstein D; Walsh CT. Catabolic alanine racemase from Salmonella typhimurium: DNA sequence, enzyme purification, and characterization.. Biochemistry. 1984. 23(22):5182-7",1984,Wasserman SA; Daub E; Grisafi P; Botstein D; Walsh CT,Biochemistry,23,22,5182-7,https://ncbi.nlm.nih.gov/pubmed/6391537,"The alanine racemase encoded by the Salmonella typhimurium dadB gene was purified to 90% homogeneity from an overproducing strain. At 37 degrees C the enzyme has a specific activity of 1400 units/mg (V max, L- to D-alanine). Active enzyme molecules are monomers of Mr 39 000 with one molecule of pyridoxal 5'-phosphate bound per subunit. The Km's for L- and D-alanine are 8.2 and 2.1 mM, respectively. Measurement of turnover numbers yielded the expected Keq value of 1.0. Determination of 22 of the 25 N-terminal amino acid residues of the purified polypeptide allowed localization of cloned DNA encoding the structural gene. Sequencing of subcloned DNA revealed that the dadB gene encodes a polypeptide of 356 amino acids whose calculated molecular weight (apoenzyme) was 39 044.",84WAS/DAU,10.1021/bi00317a015,84WAS/DAU_1236
240,10.1021/bi00306a009,6433972,Dismutation of dihydrofolate by dihydrofolate reductase.,<PubMedArticle 6433972> Blakley RL; Cocco L. Dismutation of dihydrofolate by dihydrofolate reductase.. Biochemistry. 1984. 23(11):2377-83,1984,Blakley RL; Cocco L,Biochemistry,23,11,2377-83,https://ncbi.nlm.nih.gov/pubmed/6433972,"Degradation of 7,8-dihydrofolate (H2folate) in the presence of dihydrofolate reductase (DHFR) has been shown due not to an oxygenase activity of the reductase as previously reported but to dismutation of H2folate to folate and 5,6,7,8-tetrahydrofolate (H4folate). The reaction can be followed spectrophotometrically or by analysis of the reaction mixture by high-performance liquid chromatography (HPLC). The products have also been isolated and characterized. Oxygen uptake during the reaction is much less than stoichiometric with H2folate disappearance and is attributed to autoxidation of the H4folate formed. The dismutation activity is a property of highly purified Streptococcus faecium DHFR isoenzyme 2 (but not isoenzyme 1) and of Lactobacillus casei DHFR, but not of bovine liver DHFR. The activity is dependent on tightly bound NADP+ and/or NADPH. Removal of the nucleotide results in loss of dismutation activity, which is restored by adding NADP+ or NADPH. Maximum activity is obtained when approximately 1 mol equiv of nucleotide is added per mol of DHFR. It is proposed that in the dismutation reaction bound NADP(H) is alternately reduced and oxidized by incoming molecules of H2folate with release of folate and H4folate, respectively. The relatively slow rate of folate formation presumably limits the rate of the overall reaction. The equilibrium constant for the dismutation reaction is 19.4 +/- 7.4 at 22 degrees C and pH 7.0. Calculation of standard oxidation-reduction potentials at pH 7 gave values of -0.230 V for the H2folate/H4 folate pair and -0.268 V for the folate/H2folate pair. The mechanism by which NADP+ is retained by the enzyme from some sources during purification procedures is unclear.(ABSTRACT TRUNCATED AT 250 WORDS)",84BLA/COC,10.1021/bi00306a009,84BLA/COC_295
241,10.1515/bchm2.1984.365.2.847,6489933,Nicotinic acid metabolism. Dimethylmaleate hydratase.,<PubMedArticle 6489933> Kollmann-Koch A; Eggerer H. Nicotinic acid metabolism. Dimethylmaleate hydratase.. Hoppe Seylers Z Physiol Chem. 1984. 365(8):847-57,1984,Kollmann-Koch A; Eggerer H,Hoppe Seylers Z Physiol Chem,365,8,847-57,https://ncbi.nlm.nih.gov/pubmed/6489933,"The partial enrichment of a new enzyme, dimethylmaleate hydratase from Clostridium barkeri and some of its characteristics are described. The unstable and oxygen-sensitive hydratase depends on ferrous ions and is induced during growth of C. barkeri on nicotinic acid. The enzyme uses both dimethylmaleate and the hydration product, 2,3-dimethylmalate, as substrates to establish an equilibrium that is 70% in favour of the latter acid; dimethylfumarate is not attacked. A 2,3-dimethyl[3-3H]malate specimen was prepared from dimethylmaleate with the hydratase in tritiated water. Based on proton attack at the re-face of the double bond, experimental results indicate the (2R,3S)-configuration for this malate. The hydration reaction takes an anti-course. The tritium label was lost in the sequence (2R,3S)-2,3-dimethyl[3-3H]malate----(R)-[2-3H1]-propionate----(2R) - [2-3H1]propionyl-CoA----(2S)-methylmalonyl-CoA. This result confirms the stereochemical course of the 2,3-dimethylmalate lyase reaction, inversion of configuration, by an independent approach. The hydratase reaction completes the degradation scheme of nicotinic acid by C. barkeri. The pathway is briefly reviewed.",84KOL/EGG,10.1515/bchm2.1984.365.2.847,84KOL/EGG_1201
242,,6608524,"Purification and properties of NAD-dependent 5,10-methylenetetrahydrofolate dehydrogenase from Acetobacterium woodii.","<PubMedArticle 6608524> Ragsdale SW; Ljungdahl LG. Purification and properties of NAD-dependent 5,10-methylenetetrahydrofolate dehydrogenase from Acetobacterium woodii.. J Biol Chem. 1984. 259(6):3499-503",1984,Ragsdale SW; Ljungdahl LG,J Biol Chem,259,6,3499-503,https://ncbi.nlm.nih.gov/pubmed/6608524,"An NAD-dependent 5,10-methylenetetrahydrofolate dehydrogenase has been purified to homogeneity from autotrophically and heterotrophically grown cells of Acetobacterium woodii. The enzymes from the differently grown cells were indistinguishable by gel filtration and sodium dodecyl sulfate electrophoresis and have a final specific activity of 670 units mg-1. The enzyme is oxygen-labile; therefore, it was isolated under anaerobic conditions in the presence of dithiothreitol. The oxidized enzyme can be reactivated with 5 mM dithiothreitol, the half-time of activation being 19 min. The forward and reverse reaction initial velocity kinetics was studied and the enzyme was found to follow a substituted (ping-pong) reaction mechanism. With this model, the Km values for NAD and 5,10-methylenetetrahydrofolate are 4.0 and 0.26 mM, while for NADH and 5,10-methenyltetrahydrofolate, they are 2.0 and 1.0 mM, respectively. The equilibrium constant at pH 6.7, determined by the Haldane relationship, is approximately equal to 2.0, favoring the formation of NADH and 5,10-methenyltetrahydrofolate. The purified enzyme is a Mr = 55,000 dimer which lacks 10-formyltetrahydrofolate synthetase and 5,10-methenyltetrahydrofolate cyclohydrolase activities. At pH 6.7, the conversion of 5,10-methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate occurs at a rate of 98,600 mol min-1 mol-1 of enzyme, while the reverse reaction occurs at a rate of 95,600 mol min-1 mol-1 of enzyme.",84RAG/LJU,,84RAG/LJU_303
243,10.1016/0003-9861(80)90098-3,6778396,The standard Gibbs free energy change of hydrolysis of alpha-D-ribose 1-phosphate.,<PubMedArticle 6778396> Camici M; Sgarrella F; Ipata PL; Mura U. The standard Gibbs free energy change of hydrolysis of alpha-D-ribose 1-phosphate.. Arch Biochem Biophys. 1980. 205(1):191-7,1980,Camici M; Sgarrella F; Ipata PL; Mura U,Arch Biochem Biophys,205,1,191-7,https://ncbi.nlm.nih.gov/pubmed/6778396,,80CAM/SGA,10.1016/0003-9861(80)90098-3,80CAM/SGA_950
244,10.1021/bi00523a002,6794611,Kinetic mechanism of Bacillus subtilis L-alanine dehydrogenase.,<PubMedArticle 6794611> Grimshaw CE; Cleland WW. Kinetic mechanism of Bacillus subtilis L-alanine dehydrogenase.. Biochemistry. 1981. 20(20):5650-5,1981,Grimshaw CE; Cleland WW,Biochemistry,20,20,5650-5,https://ncbi.nlm.nih.gov/pubmed/6794611,"L-Alanine dehydrogenase from Bacillus subtilis has a predominately ordered kinetic mechanism in which NAD adds before L-alanine, and ammonia, pyruvate, and NADH are released in that order. When pyruvate is varied at pH 9.35, levels of ammonia above 50 mM cause uncompetitive substrate inhibition and cause the slope replot to go through the origin. This pattern suggest that iminopyruvate (2% of pyruvate at this pH with 150 mM ammonia) can combine with E-NADH much more tightly than pyruvate does but reacts much more slowly because uptake of the required proton from solution is hindered. Isomerization of the initially formed E-NAD complex to a form which can productively bind L-alanine is the slowest step in the forward direction at pH 7.9, and substrate inhibition by L-alanine largely results from combination of the zwitterion in a nonproductive fashion with this initial E-NAD complex, with the result that the isomerization is prevented. All bimolecular rate constants approach diffusion-limited values at optimal states of protonation of enzyme and substrates except that for ammonia, suggesting that ammonia does not form a complex with E-NADH-pyruvate but reacts directly with it to give a bound carbinolamine.",81GRI/CLE,10.1021/bi00523a002,81GRI/CLE_272
245,10.1016/0003-9861(82)90487-8,6812503,31P NMR studies on purine nucleoside phosphorylases: determination of the scissile bond and of the equilibrium constant.,<PubMedArticle 6812503> Salamone SJ; Jordan F; Jordan RR. 31P NMR studies on purine nucleoside phosphorylases: determination of the scissile bond and of the equilibrium constant.. Arch Biochem Biophys. 1982. 217(1):139-43,1982,Salamone SJ; Jordan F; Jordan RR,Arch Biochem Biophys,217,1,139-43,https://ncbi.nlm.nih.gov/pubmed/6812503,,82SAL/JOR,10.1016/0003-9861(82)90487-8,82SAL/JOR_462
246,,6822536,"Purification and properties of NADP-dependent formate dehydrogenase from Clostridium thermoaceticum, a tungsten-selenium-iron protein.","<PubMedArticle 6822536> Yamamoto I; Saiki T; Liu SM; Ljungdahl LG. Purification and properties of NADP-dependent formate dehydrogenase from Clostridium thermoaceticum, a tungsten-selenium-iron protein.. J Biol Chem. 1983. 258(3):1826-32",1983,Yamamoto I; Saiki T; Liu SM; Ljungdahl LG,J Biol Chem,258,3,1826-32,https://ncbi.nlm.nih.gov/pubmed/6822536,"NADP-dependent formate dehydrogenase (NADP+) (EC 1.2.1.43) from Clostridium thermoaceticum has been purified to a specific activity of about 1100 mumol min-1 mg-1 when assayed at 55 degrees C and pH 7.5. The enzyme is extremely oxygen-sensitive and 7.6 microM of O2 causes 50% inhibition of initial velocity under assay conditions. Purification was done in an atmosphere at 95% N2 and 5% H2 and by including azide, dithionite, and glycerol as stabilizing agents in all buffer solutions. The enzyme contains, in molar ratios, 2 tungsten, 2 selenium, 36 iron, and about 50 inorganic sulfur. It has a molecular weight of about 340,000 and consist of two each of two different subunits giving the composition alpha 2 beta 2. The molecular weight of the alpha-subunit is 96,000 and that of the beta-subunit is 76,000. The selenium resides in the two alpha-subunits. Tungsten is released from the protein on denaturation and may exist as a tungsten cofactor. The enzyme catalyzes a reduction of CO2 with NADPH at pH 7.5 and 55 degrees C and Keq at these conditions is (2.35 +/- 0.49) x 10(-2) if CO2 is considered the active species and (1.48 +/- 0.31) x 10(-3) if HCO3- is the active species.",83YAM/SAI,,83YAM/SAI_261
247,10.1111/j.1432-1033.1983.tb07443.x,6852021,The alpha beta-methylene analogues of ADP and ATP act as substrates for creatine kinase. delta G0 for this reaction and for the hydrolysis of the alpha beta-methylene analogue of ATP.,<PubMedArticle 6852021> Milner-White EJ; Rycroft DS. The alpha beta-methylene analogues of ADP and ATP act as substrates for creatine kinase. delta G0 for this reaction and for the hydrolysis of the alpha beta-methylene analogue of ATP.. Eur J Biochem. 1983. 133(1):169-72,1983,Milner-White EJ; Rycroft DS,Eur J Biochem,133,1,169-72,https://ncbi.nlm.nih.gov/pubmed/6852021,"The alpha beta-methylene analogues of ATP and ADP, [alpha beta CH2]ATP and [alpha beta CH2]ADP, are substrates for creatine kinase. However, the rate of the phosphoryl transfer reaction catalysed is about 10(-5)-times lower than that with normal ATP. The affinities of the analogues (especially [alpha beta CH2]ADP) for the enzyme are lower than those of the normal substrates. The equilibrium constant at 25 degrees C, measured using 31P NMR, for the reaction Mg[alpha beta CH2]ATP + creatine in equilibrium Mg[alpha beta CH2]ADP + phosphocreatine + H+ is 2.2 X 10(-12) M compared with a value of 2.5 X 10(-10) M for the same reaction with the normal substrates, corresponding to a difference in delta G0 values of 11.7 kJ X mol-1. It follows that delta G0 for the hydrolysis of the terminal phosphate group of Mg[alpha beta CH2]ATP is less favourable by 11.7 kJ X mol-1 than that for MgATP.",83MIL/RYC,10.1111/j.1432-1033.1983.tb07443.x,83MIL/RYC_607
248,,6863314,Reversal of the reaction catalyzed by glyoxalase I. Calculation of the equilibrium constant for the enzymatic reaction.,<PubMedArticle 6863314> Sellin S; Mannervik B. Reversal of the reaction catalyzed by glyoxalase I. Calculation of the equilibrium constant for the enzymatic reaction.. J Biol Chem. 1983. 258(14):8872-5,1983,Sellin S; Mannervik B,J Biol Chem,258,14,8872-5,https://ncbi.nlm.nih.gov/pubmed/6863314,"Glyoxalase I catalyzes the formation of S-D-lactoyl-glutathione via the hemimercaptal adduct of methylglyoxal and glutathione. This enzymatic reaction, which has been considered virtually irreversible, was found to be reversible under such conditions that glutathione liberated from the thiolester was trapped. The reverse reaction could be monitored spectrophotometrically by use of 5,5'-dithiobis-(2-nitrobenzoate). In addition to 5,5'-dithiobis-(2-nitrobenzoate), 2,2'-dithiobispyridine and cystamine were used to promote the reverse reaction. S-D-Lactoylglutathione did not hydrolyze in the presence of glyoxalase I under the conditions investigated, as shown by its stability in the absence of thioltrapping agents. Proof of the reversal of the reaction was obtained by demonstrating the formation of stoichiometric amounts of methylglyoxal and glutathione from S-D-lactoylglutathione. Catalysis of the reverse reaction was dependent upon the presence of a bivalent metal ion in the active site of the enzyme. Apoenzyme, obtained by removal of the essential Zn2+ from the active site, did not catalyze the reverse reaction, but catalytic activity was restored by addition of Zn2+, Mg2+, Mn2+, or Co2+. The reverse reaction was also catalyzed by glyoxalase I from yeast. Linear competitive inhibition (Ki = 0.64 mM) was obtained with 5,5'-dithiobis-(2-nitrobenzoate), which necessitated correction of the apparent kinetic parameters of the reverse reaction. The corrected values for the reverse reaction catalyzed by glyoxalase I from human erythrocytes with S-D-lactoylglutathione as substrate were kcat = 3.6 s-1 and Km = 1.9 mM. Combination of these values with the corresponding parameters for the forward reaction allowed calculation, through the Haldane relation, of the equilibrium constant, Keq = 1.1 X 10(4), for the isomerization between the hemimercaptal of methylglyoxal and glutathione and S-D-lactoylglutathione. The strong reversible competitive inhibitor of the forward reaction, S-p-bromobenzylglutathione, also inhibited the reverse reaction competitively (Ki = 0.38 microM).",83SEL/MAN,,83SEL/MAN_1228
249,,6987227,The enzymes of the galactose cluster in Saccharomyces cerevisiae. II. Purification and characterization of uridine diphosphoglucose 4-epimerase.,<PubMedArticle 6987227> Fukasawa T; Obonai K; Segawa T; Nogi Y. The enzymes of the galactose cluster in Saccharomyces cerevisiae. II. Purification and characterization of uridine diphosphoglucose 4-epimerase.. J Biol Chem. 1980. 255(7):2705-7,1980,Fukasawa T; Obonai K; Segawa T; Nogi Y,J Biol Chem,255,7,2705-7,https://ncbi.nlm.nih.gov/pubmed/6987227,"Uridine diphosphoglucose 4-epimerase (EC 5.1.3.2) of Saccharomyces cerevisiae was purified to homogeneity with a yield of 30%. The purification procedure involved ammonium sulfate precipitation, streptomycin treatment, chromatography on diethylaminoethyl cellulose and hydroxylapatite, and Bio-Gel A-0.5m gel filtration. With the purified enzyme preparation, Km and Vmax values for uridine diphosphogalactose were determined and found to be 0.22 mM and 1.26 mmol/h/mg of protein, respectively. The value of Vmax corresponds to a turnover rate of 3890 molecules of uridine diphosphogalactose converted to uridine diphosphoglucose/min/enzyme molecule. The pH optimum of the enzyme was found to be between 6.8 and 8.0. Amino acid analysis was carried out on the final preparation. Based on the result, the partial specific volume was calculated to be 0.74 ml/g. The NH2-terminal residue of the enzyme was studied by two different methods and found to be threonine. The molecular weight and subunit composition were determined by the combination of the sucrose density gradient centrifugation and gel filtration under nondissociating conditions, and by polyacrylamide gel electrophoresis under dissociating conditions. The results indicated that the enzyme has a molecular weight of 183,000, consisting of two identical subunits. Each molecule of the native enzyme contained 1 molecule of NAD+.",80FUK/OBO,,80FUK/OBO_1256
250,,6988421,"Shift of the equilibrium constant of the 3-P-glycerate kinase reaction towards 1,3-bis-P-glycerate with adenosine 5'-O-(2-thiotriphosphate) (ATP beta S) as substrate.","<PubMedArticle 6988421> Jaffe EK; Cohn M. Shift of the equilibrium constant of the 3-P-glycerate kinase reaction towards 1,3-bis-P-glycerate with adenosine 5'-O-(2-thiotriphosphate) (ATP beta S) as substrate.. J Biol Chem. 1980. 255(8):3240-1",1980,Jaffe EK; Cohn M,J Biol Chem,255,8,3240-1,https://ncbi.nlm.nih.gov/pubmed/6988421,"It has been demonstrated that the reaction of ATP beta S and 3-P-glycerate catalyzed by 3-P-glycerate kinase, unlike the reaction with ATP, can form a readily detectable amount of 1,3-bis-P-glycerate as observed by 31P NMR. By quantifying production of 1,3-bis-P-glycerate from the phosphorothioate analogue of ATP as a function of time as the reaction approaches equilibrium, Keq for the reaction was estimated to be approximately 400, about 1 order of magnitude less than the equilibrium constant previously reported for the analogous reaction of the normal nucleotide substrates.",80JAF/COH,,80JAF/COH_582
251,,6997302,"31P NMR quantitation of the displacement of equilibria of arginine, creatine, pyruvate, and 3-P-glycerate kinase reactions by substitution of sulfur for oxygen in the beta phosphate of ATP.","<PubMedArticle 6997302> Lerman CL; Cohn M. 31P NMR quantitation of the displacement of equilibria of arginine, creatine, pyruvate, and 3-P-glycerate kinase reactions by substitution of sulfur for oxygen in the beta phosphate of ATP.. J Biol Chem. 1980. 255(18):8756-60",1980,Lerman CL; Cohn M,J Biol Chem,255,18,8756-60,https://ncbi.nlm.nih.gov/pubmed/6997302,"31P NMR measurements have been found to be a convenient means for simultaneously measuring the concentrations of several species in the equilibrium mixtures of the reactions catalyzed by arginine kinase and creatine kinase. MgATP + X in equilibrium MgADP + XP where X = arginine or creatine and XP = P-arginine or P-creatine. The free energy of phosphorylaton of various metabolites by adenosine 5'-O-(2-thiotriphosphate) at pH 8.0 and 30 degrees C is more exergonic than the corresponding phosphorylations by ATP by about 2.5 kcal/mol, resulting in a displacement of the equilibrium toward the nucleoside diphosphates by a factor of approximately 60. Since this factor does not depend on the nature of the metabolite, the equilibrium constants of thionucleotide reactions may be used to determined the equilibrium constants of corresponding oxynucleotide reactions which lie too far toward ATP. The equilibrium constants of the oxynucleotide reactions catalyzed by pyruvate kinase and 3-P-glycerate kinase calculated by this method from the experimentally determined equilibrium constants of the corresponding thionucleotide reactions are 3.1 x 10(-4) and 2.9 x 10(-4), respectively, under the experimental conditions used. The equilibrium constants and degree of stereoselectivity of the arginine kinase reaction are altered when Ca2+ replaces Mg2+ as the activating metal ion.",80LER/COH,,80LER/COH_623
252,10.1021/bi00562a023,7000186,Primary and secondary deuterium isotope effects on equilibrium constants for enzyme-catalyzed reactions.,<PubMedArticle 7000186> Cook PF; Blanchard JS; Cleland WW. Primary and secondary deuterium isotope effects on equilibrium constants for enzyme-catalyzed reactions.. Biochemistry. 1980. 19(21):4853-8,1980,Cook PF; Blanchard JS; Cleland WW,Biochemistry,19,21,4853-8,https://ncbi.nlm.nih.gov/pubmed/7000186,"Primary deuterium equilibrium isotope effects for the reaction of five secondary alcohols with nicotinamide adenine dinucleotide (DPN) to give reduced deuterionicotinamide adenine dinucleotide (DPND) (cyclohexanol-1-d, 1.18; 2-propanol-2-d, 1.175; threo-DL-isocitrate-2-d, 1.168; L-malate-2-d, 1.173; L-lactate-2-d, 1.19) are all approximately 1.18, while for a primary alcohol, ethanol, the value is 1.07, for an amino acid, L-glutamate-2-d, it is 1.14, and for a hemiacetal, glucose-1-d, it is 1.28. In each case deuterium becomes enriched in the alcohol, amino acid, or hemiacetal with respect to DPNH (TPNH). beta-Secondary equilibrium isotope effects for reduction of ketones by DPNH (cyclohexanone-2,2,6,6-d4, 0.82; acetone-d6, 0.78; pyruvate-d3, 0.83; alpha-ketoglutarate-3,3-d2 reduced to glutamate, 0.898; oxaloacetate-3,3-d2, 0.877; oxaloacetate-3R-d, 0.945) give an average value of 0.946/D, with deuterium becoming enriched in the alcohol or amino acid with respect to the ketone. For reduction of acetaldehyde-1-d by DPNH, the observed value of 0.953 includes the equilibrium effect on the hydration equilibrium in addition to that on the reduction, and the calculated values for reduction of the free aldehyde and the hydrate are 0.78 and 1.07. For reduction of benzaldehyde-1-d, which is not hydrated, the observed value was 0.79. The secondary equilibrium isotope effect for conversion of DPN-4-d to DPNH is 0.89, with deuterium becoming enriched in DPNH, and, for conversion of fumarate-2,3-d2 to malate, the value is 0.69, with deuterium becoming enriched in L-malate. The equilibrium isotope effect for reaction of cyclohexanol-1-d with DPN is temperature independent over the range 15-35 degrees C.",80COO/BLA,10.1021/bi00562a023,80COO/BLA_6
253,,7197134,Purification and properties of the xylitol dehydrogenase from Pullularia pullulans.,<PubMedArticle 7197134> Sugai JK; Veiga LA. Purification and properties of the xylitol dehydrogenase from Pullularia pullulans.. An Acad Bras Cienc. 1981. 53(1):183-93,1981,Sugai JK; Veiga LA,An Acad Bras Cienc,53,1,183-93,https://ncbi.nlm.nih.gov/pubmed/7197134,"Pullularia pullulans grown on D-xylose induces the synthesis of a xylitol dehydrogenase capable of oxidizing xylitol to D-xylulose in the presence of NAD according to the following reaction: Xylitol + NAD+ in equilibrium to D-xylulose + NADH + H+. Cells grown on D-glucose do not show appreciably xylitol dehydrogenase activity. However, synthesis of the enzyme begins when those cells were transferred to a liquid medium containing D-xylose. This evidence suggests that xylitol dehydrogenase is an induced enzyme. The purified xylitol dehydrogenase of Pullularia pullulans is quite specific for xylitol, unlike similar dehydrogenases from other sources, which attack a variety of polyols of variable chain length. This property makes the enzyme useful for the determination of xylitol, even in the presence of other polyols.",81SUG/VEI,,81SUG/VEI_53
254,10.1016/0003-9861(81)90416-1,7198894,Equilibrium constants under physiological conditions for the reactions of D-3-phosphoglycerate dehydrogenase and L-phosphoserine aminotransferase.,<PubMedArticle 7198894> Merrill DK; McAlexander JC; Guynn RW. Equilibrium constants under physiological conditions for the reactions of D-3-phosphoglycerate dehydrogenase and L-phosphoserine aminotransferase.. Arch Biochem Biophys. 1981. 212(2):717-29,1981,Merrill DK; McAlexander JC; Guynn RW,Arch Biochem Biophys,212,2,717-29,https://ncbi.nlm.nih.gov/pubmed/7198894,,81MER/MCA,10.1016/0003-9861(81)90416-1,81MER/MCA_539
255,,7388069,[Equilibrium of the reactions of synthesis and hydrolysis of carbamide in the presence of urease].,<PubMedArticle 7388069> Terekhina TP; Rabovskaia NS. [Equilibrium of the reactions of synthesis and hydrolysis of carbamide in the presence of urease].. Biokhimiia. 1980. 45(2):299-304,1980,Terekhina TP; Rabovskaia NS,Biokhimiia,45,2,299-304,https://ncbi.nlm.nih.gov/pubmed/7388069,"The values of Km and V, pH optimum and thermal stability of urease were determined. It was shown that urease can be effectively used for the study of equilibrium of synthesis and hydrolysis of carbamide under conditions of carbamide in the ammonium carbonate--carbamide--water system at 20 degrees and 37 degrees were determined. The equilibrium constants for carbamide synthesis at the given temperatures were calculated.",80TER/RAB,,80TER/RAB_994
256,10.1016/0301-4622(80)80041-x,7437498,A microcalorimetric study of the reaction catalysed by pyruvate kinase.,<PubMedArticle 7437498> Cheer RL; Hedwig GR; Watson ID. A microcalorimetric study of the reaction catalysed by pyruvate kinase.. Biophys Chem. 1980. 12(1):73-82,1980,Cheer RL; Hedwig GR; Watson ID,Biophys Chem,12,1,73-82,https://ncbi.nlm.nih.gov/pubmed/7437498,,80CHE/HED,10.1016/0301-4622(80)80041-x,80CHE/HED_567
257,,7462219,"31P NMR of enzyme-bound substrates of rabbit muscle creatine kinase. Equilibrium constants, interconversion rates, and NMR parameters of enzyme-bound complexes.","<PubMedArticle 7462219> Nageswara Rao BD; Cohn M. 31P NMR of enzyme-bound substrates of rabbit muscle creatine kinase. Equilibrium constants, interconversion rates, and NMR parameters of enzyme-bound complexes.. J Biol Chem. 1981. 256(4):1716-21",1981,Nageswara Rao BD; Cohn M,J Biol Chem,256,4,1716-21,https://ncbi.nlm.nih.gov/pubmed/7462219,"The reaction catalyzed by rabbit muscle creatine kinase ATP + creatine in equilibrium ADP + P-creatine has been investigated by 31P NMR. At pH 8.0 and 4 degrees C, the equilibrium constant of the overall reaction [P1][P2]/[S1] [S2] is found to be 0.08, while that for the interconversion step between enzyme-bound substrates and products [E.P1. P2]/[E.S1.S2] is estimated to be approximately 1; the latter value is the same for all other kinases investigated. The rate of interconversion of enzyme-bound substrates and products is approximately 90 s-1 and is not the rate-limiting step of the overall reaction. Of the phosphate groups in enzyme complexes of reactants or products, the 31P chemical shifts of beta-P(ADP) and beta-P[MgADP) change by approximately 2 ppm downfield while all others change by less than 0.8 ppm. In the transition state analog complexes E.MgADP.NO3-.creatine and E.MgADP.HCOO-.creatine, the beta-P(MgADP) signal shows a substantial upfield shift in the direction of the beta-P(MgATP) resonance. The pattern of chemical shifts and line shapes of nucleotide complexes of creatine kinase parallel those for the corresponding complexes of arginine kinase, indicating structural and/or conformational similarity of the phosphate chains of nucleotides bound to the two enzymes. However, a difference in active sites is indicated by the pH independence (pH 6.0 to 9.0) of the chemical shift of the beta-P of MgADP bound to creatine kinase, whereas with arginine kinase this resonance showed a pKa approximately 7.5.",81RAO/COH,,81RAO/COH_600
258,10.1074/jbc.270.21.12428,7759484,Creatine kinase equilibration follows solution thermodynamics in skeletal muscle. 31P NMR studies using creatine analogs.,<PubMedArticle 7759484> Wiseman RW; Kushmerick MJ. Creatine kinase equilibration follows solution thermodynamics in skeletal muscle. 31P NMR studies using creatine analogs.. J Biol Chem. 1995. 270(21):12428-38,1995,Wiseman RW; Kushmerick MJ,J Biol Chem,270,21,12428-38,https://ncbi.nlm.nih.gov/pubmed/7759484,"The hypothesis tested was whether creatine kinase (CK) equilibrates with its substrates and products in the cytosol as if in solution. We used the creatine analogs cyclocreatine (cCr) or beta-guanidopropionate (beta GPA) to test if mass action ratios (gamma) for CK in muscle could be predicted from combined equilibrium constants (Kcomb) measured in solutions mimicking the intracellular environment. Mice were fed cCr or beta GPA and their muscles assayed for substrates and products of the CK reaction by 31P NMR spectroscopy and high performance liquid chromatography. After three weeks of feeding, gamma was indistinguishable from Kcomb in cCr-treated muscles demonstrating both PCr/Cr and phospho-analog/analog must have equilibrated with a constant and uniform cellular ATP/ADP ratio. In beta GPA-treated muscles, gamma was smaller than Kcomb due to a higher content of muscle beta GPA. Feeding beta GPA for 9-12 weeks resulted in a closer agreement between Kcomb and gamma, suggesting ATP/ADP ratios are not uniform within the muscle perhaps due to transient metabolic stress in some cells. From this analysis it follows that calculation of free ADP from the CK equilibrium for a heterogeneous population of cells with respect to total Cr and ATP content is correct only if chemical potentials of these cells are uniform.",95WIS/KUS,,95WIS/KUS_612
