Enzyme:,Reaction:,Reference:,Reference ID:,T [K],pH ,Keq,Km,Method:,Buffer:,Experimental conditions,EC Value:,solutes [mol / kg],solutes [mol / dm^3],Ionic strength [mol / dm^3],Ionic strength [mol / kg],Enthalpy [kJ / mol]
 _-glucosidase, 1-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 1-propanol(aq) + D-glucose(aq), , ,303.15, ,9.98, , , , , , , , , , 
 _-glucosidase, 2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-propanol(aq) + D-glucose(aq),Veibel S.; Enzymologia; 1 124 (1936).,36VEI_926,277.15, ,19, , polarimetry, , ," 3.2.1.21                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 _-glucosidase, 2-propyl Î²-D-glucopyranoside(aq) + H2O(l) = 2-propanol(aq) + D-glucose(aq), , ,303.15, ,22.7, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Adler E.; Sreenivasaya M.; Hoppe-Seyler's Z. Physiol. Chem.; 249 24 (1937).,37ADL/SRE_8,298.15,6.05,6.00E-06, , spectrophotometry, , ," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.25,7.70E-05, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,8,1.20E-05, , , , , , , , , , 
 glycerol-3-phosphate dehydrogenase (NAD+), sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 249 1 (1937).,37EUL/ADL2_42,298.15,6.9,1.60E-05, , spectrophotometry, phosphate, ," 1.1.1.8                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 glycerol-3-phosphate dehydrogenase (NAD+), sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq), , ,298.15,7.6,0.0003, , , , , , , , , , 
 glycerol-3-phosphate dehydrogenase (NAD+), sn-glycerol 3-phosphate(aq) + NAD(aq) = dihydroxyacetone phosphate(aq) + NADH(aq), , ,298.15,8.1,0.00059, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Hellstrvm H.; Hoppe-Seyler's Z. Physiol. Chem.; 245 217 (1937).,37EUL/ADL3_96,298.15,7.4,7.10E-06, , spectrophotometry, phosphate, ," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,7.4,9.60E-06, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,7.9,3.10E-05, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.1,5.00E-05, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.2,0.0002, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.3,0.00029, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.35,0.00029, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.7,0.00015, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.9,0.00033, , , , , , , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_127,298.15,7.46,2.30E-05, , spectrophotometry, phosphate, ," 1.1.1.37                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq), , ,298.15,7.54,3.50E-05, , , , , , , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq), , ,298.15,7.71,5.00E-05, , , , , , , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq), , ,298.15,7.85,0.00011, , , , , , , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq), , ,298.15,8.33,0.0002, , , , , , , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq), , ,298.15,8.44,0.0005, , , , , , , , , , 
 malate dehydrogenase, (S)-malate(aq) + NAD(aq) = oxaloacetate(aq) + NADH(aq), , ,298.15,8.49,0.00063, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq),von Euler H.; Adler E.; G|nther G.; Hoppe-Seyler's Z. Physiol. Chem.; 247 65 (1937).,37EUL/ADL_95,298.15,7.58,7.70E-05, , spectrophotometry, phosphate, ," 1.1.1.27                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,7.61,8.30E-05, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.38,0.0011, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.51,0.0014, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.82,0.002, , , , , , , , , , 
 L-lactate dehydrogenase, (S)-lactate(aq) + NAD(aq) = pyruvate(aq) + NADH(aq), , ,298.15,8.83,0.0025, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Negelein E.; Wulff H.-J.; Biochem. Z.; 293 351 (1937).,37NEG/WUL_9,293.15,7.9,0.000741, , spectrophotometry, phosphate, ," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq),von Euler H.; Adler E.; G|nther G.; Das N.B.; Hoppe-Seyler's Z. Physiol. Chem.; 254 61 (1938).,38EUL/ADL_273,298.15,6.05,3.90E-11, , spectrophotometry, phosphate, ," 1.4.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,6.63,1.30E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.01,1.30E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.26,7.60E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.36,6.50E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.39,9.40E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.4,7.90E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.43,1.50E-08, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.45,1.70E-08, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.57,7.70E-09, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.6,2.00E-08, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.66,1.10E-08, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,7.82,2.40E-08, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,8.01,3.60E-08, , , , , , , , , , 
 glutamate dehydrogenase, L-glutamate(aq) + NAD(aq) + H2O(l) = 2-oxoglutarate(aq) + NADH(aq) + ammonia(aq), , ,298.15,8.05,7.00E-08, , , , , , , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq),Meyerhof O.; Schulz W.; Biochem. Z.; 297 60 (1938).,38MEY/SCH_1387,273.15, ,10.8, , polarimetry, , ," 5.4.2.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,293.15, ,9.5, , , , , , , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,310.15, ,7.9, , , , , , , , , , 
 phosphoglycerate mutase, 2-phospho-D-glycerate(aq) = 3-phospho-D-glycerate(aq), , ,333.15, ,7.6, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq),Schlenk F.; Hellstrvm H.; von Euler H.; Ber. Dtsch. Chem. Ges.; 71 1471 (1938).,38SCH/HEL_10,298.15,6.3,2.60E-05, , spectrophotometry, , ," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,6.85,8.80E-05, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.15,0.00019, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.34,0.0003, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.61,0.00051, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,7.77,0.0008, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + NAD(aq) = acetaldehyde(aq) + NADH(aq), , ,298.15,8.17,0.0022, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq),Schlenk F.; Hellstrvm H.; von Euler H.; Ber. Dtsch. Chem. Ges.; 71 1471 (1938).,38SCH/HEL_23,298.15,6.39,9.10E-06, , spectrophotometry, , ," 1.1.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq), , ,298.15,6.6,3.00E-05, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq), , ,298.15,6.85,5.10E-05, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq), , ,298.15,7.18,0.00015, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq), , ,298.15,7.31,0.00023, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq), , ,298.15,7.69,0.00056, , , , , , , , , , 
 alcohol dehydrogenase, ethanol(aq) + desamino NAD(aq) = acetaldehyde(aq) + desamino NADH(aq), , ,298.15,8.06,0.0011, , , , , , , , , , 
 alanine transaminase, L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),Cohen P.P.; Biochem. J.; 33 1478 (1939).,39COH_504,313.15,7.4,1, , , phosphate (0.1 mol dm-3), ," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 aspartate transaminase, L-aspartate(aq) + 2-oxoglutarate(aq) = oxaloacetate(aq) + L-glutamate(aq),Cohen P.P.; J. Biol. Chem.; 136 585 (1940).,40COH_495,311.15,7.4,0.25, , , phosphate, ," 2.6.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)",Herbert D.; Gordon H.; Subrahmanyan V.; Green D.E.; Biochem. J.; 34 1108 (1940).,40HER/GOR_1090,301.15,7.2,6.00E-05, , , borate (0.8 mol dm-3), ," 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)", , ,311.15,7.2,0.000119, , , , , , , , , , 
 fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)", , ,311.15,7.33,0.000122, , , , , , , , , , 
 fructose-biphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = glycerone phosphate(aq) + D-glyceraldehyde 3-phosphate(aq)", , ,321.15,7.2,0.000234, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq),Krebs H.A.; Smyth D.H.; Evans E.A. Jr.; Biochem. J.; 34 1041 (1940).,40KRE/SMY_1143,293.15,7.4,4.57, , manometry, phosphate (0.1 mol dm-3), ," 4.2.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,303.15,7.4,3.54, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,313.15,7.4,3.17, , , , , , , , , , 
 fumarate hydratase, fumarate(aq) + H2O(l) = (S)-malate(aq), , ,323.15,7.4,2.65, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Utter M.F.; Werkman C.H.; J. Bacteriol.; 42 665 (1941).,41UTT/WER_1103,278.15,9,0.000435, , chemical analysis, glycine + NaOH, ," 4.1.2.13 & 5.3.1.1                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,298.15,9,0.00182, , , , , , , , , , 
 fructose-biphosphate aldolase and triose-phosphate isomerase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,9,0.00637, , , , , , , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)",Utter M.F.; Werkman C.H.; J. Bacteriol.; 42 665 (1941).,41UTT/WER_1291,278.15,9,0.000435, , chemical analysis, glycine + NaOH, ," 5.3.1.1 & 4.1.2.13                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,298.15,9,0.00182, , , , , , , , , , 
 triose-phosphate isomerase and fructose-bisphosphate aldolase," D-fructose 1,6-bisphosphate(aq) = 2 glycerone phosphate(aq)", , ,313.15,9,0.00637, , , , , , , , , , 
 phosphopyruvate hydratase, 2-phospho-D-glycerate(aq) = phosphoenolpyruvate(aq) + H2O(l),Warburg O.; Christian W.; Biochem. Z.; 310 384 (1941).,41WAR/CHR_1171,293.15,7.34,1.43, , spectrophotometry, bicarbonate and phosphate, ," 4.2.1.11                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphoglucomutase, Î±-D-glucose 1-phosphate(aq) =Î±-D-glucose 6-phosphate(aq),Colowick S.P.; Sutherland E.W.; J. Biol. Chem.; 144 423 (1942).,42COL/SUT_1401,293.15,~7.5,19.8, , , barbital (0.025 mol dm-3), ," 5.4.2.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 phosphoglucomutase, Î±-D-glucose 1-phosphate(aq) =Î±-D-glucose 6-phosphate(aq), , ,303.15,~7.5,17.2, , , , , , , , , , 
 phosphoglucomutase, Î±-D-glucose 1-phosphate(aq) =Î±-D-glucose 6-phosphate(aq), , ,313.15,~7.5,16.2, , , , , , , , , , 
 alanine transaminase, L-alanine(aq) + 2-oxoglutarate(aq) = pyruvate(aq) + L-glutamate(aq),Lenard P.; Straub F.B.; Stud. Inst. Med. Chem. Univ. Szeged; 2 59 (1942).,42LEN/STR_505,310.15,7.3,0.7, , chemical analysis, phosphate (0.1 mol dm-3), ," 2.6.1.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
 creatine kinase, ATP(aq) + creatine(aq) = ADP(aq) + phosphocreatine(aq),Banga I.; Stud. Inst. Med. Chem. Univ. Szeged; 3 59 (1943).,43BAN_590,311.15,7.5,0.0023, , chemical analysis, borate and barbital acetate, ," 2.7.3.2                                                    (ENZYME |                                                 KEGG)                                                ", , , , , 
